area,sub_area,project,status,url,tables,coordinates,developer,master_developer,location_type,area_propsearch,phase,floors,building_type,unit_types,date_launched,estimated_handover_date
Dubai Hills Estate,Park Ridge,Executive Residences,Planned,https://propsearch.ae/dubai/executive-residences,"{'proximity-to-landmarks': {'Palm Jumeirah': '18 mins drive', 'Al Maktoum International Airport': '36 mins drive', 'La Mer by Meraas': '22 mins drive', 'Mall of the Emirates': '15 mins drive', 'Dubai Mall': '15 mins drive', 'Burj Al Arab': '15 mins drive', 'Ibn Battuta Mall': '20 mins drive', 'The Walk JBR': '21 mins drive', 'Dubai International Airport': '21 mins drive'}, 'key-information': {'Location type': 'Residential building', 'Area': 'Park Ridge', 'Phase': 'Planned', 'Floors': '13', 'Building type': 'High-rise building', 'Unit types': 'One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments'}, 'companies-associated': {'Developer': 'Emaar Properties'}, 'milestones': {'Date Launched': 'January 2019'}}","25°6 42""N 55°14 48.4""E",Emaar Properties,,Residential building,Park Ridge,Planned,13,High-rise building,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,January 2019,
Dubai Hills Estate,Dubai Hills Estate,Golfville,Planned,https://propsearch.ae/dubai/golfville,"{'proximity-to-landmarks': {'Palm Jumeirah': '20 mins drive', 'Al Maktoum International Airport': '39 mins drive', 'La Mer by Meraas': '25 mins drive', 'Mall of the Emirates': '18 mins drive', 'Dubai Mall': '18 mins drive', 'Burj Al Arab': '18 mins drive', 'Ibn Battuta Mall': '23 mins drive', 'The Walk JBR': '25 mins drive', 'Dubai International Airport': '23 mins drive'}, 'key-information': {'Location type': 'Residential building', 'Area': 'Dubai Hills Estate', 'Phase': 'Planned', 'Floors': '15', 'Building type': 'High-rise building', 'Unit types': 'One-bedroom apartmentsTwo-bedroom apartments'}, 'companies-associated': {'Master Developer': 'Emaar Properties'}, 'milestones': {'Date Launched': 'April 2019', 'Estimated Handover Date': 'February 2022'}}","25°7 16.7""N 55°15 31.8""E",,Emaar Properties,Residential building,Dubai Hills Estate,Planned,15,High-rise building,One-bedroom apartmentsTwo-bedroom apartments,April 2019,February 2022
