area,sub_area,project,status,url,coordinates,architectural_consultant,contractor,developer,location_type,area_propsearch,phase,floors,floors_below_ground,building_type,date_launched,caption,photo_url
Jumeirah Village Triangle,JVT District 4,Datum JVT Tower,Planned,https://propsearch.ae/dubai/datum-jvt-tower,"25°2 32.8""N 55°11 22.6""E",Datum Engineering Consultants,Ginco General Contracting LLC,,Residential building,JVT District 4,Planned,39,2,Skyscraper,2017,"Datum JVT Tower, undeveloped plot.",https://static.propsearch.ae/dubai-locations/datum-jvt-tower-22509_xl.jpg
Jumeirah Village Triangle,JVT District 2,Untitled Plot JVT02KTCP002A,Planned,https://propsearch.ae/dubai/untitled-plot-jvt02ktcp002a,"25°2 11""N 55°10 41.2""E",Aroom Architects & Consultants,Darwish Engineering Emirates,Bin Butti International Holdings,Residential building,JVT District 2,Planned,21,,High-rise building,2017,"Untitled Plot JVT02KTCP002A, undeveloped plot.",https://static.propsearch.ae/dubai-locations/untitled-plot-jvt02ktcp002a-22535_xl.jpg
