area,sub_area,project,status,url,coordinates,developer,architectural_consultant,contractor,location_type,area_propsearch,phase,floors,floors_below_ground,building_type,total_units,unit_types,construction_started,date_launched,estimated_handover_date,caption,photo_url
Jumeirah Lakes Towers,Jumeirah Lakes Towers,Me Do Re Residential Tower,Under development,https://propsearch.ae/dubai/me-do-re-residential-tower,"25°3 53.6""N 55°8 22.3""E",Me Do Re Properties,APG Architecture & Planning Group,China Railway 18th Bureau Group,Residential building,Jumeirah Lakes Towers,Under development,41,4,Skyscraper,,,2009,,,update June 2020,https://static.propsearch.ae/dubai-locations/me-do-re-residential-tower-20557_xl.jpg
Jumeirah Lakes Towers,Jumeirah Lakes Towers,MBL Residence,Under development,https://propsearch.ae/dubai/mbl-residence,"25°4 1.3""N 55°8 23""E",DMCC,National Engineering Bureau,,Mixed-use building,Jumeirah Lakes Towers,Under development,40,,Skyscraper,472,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,January 2017,September 2015,Q4 2019,update June 2020,https://static.propsearch.ae/dubai-locations/mbl-residence-20548_xl.jpg
