area,sub_area,project,status,url,coordinates,developer,architectural_consultant,piling_contractor,interior_designer,contractor,location_type,area_propsearch,phase,floors,floors_below_ground,building_type,caption,photo_url
Motor City,Motor City,Union Properties Mixed Use Development,Under development,https://propsearch.ae/dubai/union-properties-mixed-use-development,"25°2 43.1""N 55°13 57.4""E",Union Properties,Al Gurg,Atlas Foundations,,,Building,Motor City,Under development,,,,site signboard,https://static.propsearch.ae/dubai-locations/union-properties-mixed-use-development-17205_xl.jpg
Motor City,Motor City,AGMC BMW Showroom,Under development,https://propsearch.ae/dubai/agmc-bmw-showroom,"25°2 46.1""N 55°14 4.8""E",Al Batha Real Estate,Archcorp Architectural Engineering,,Design Concepts,Dubai Civil Engineering,Building,Motor City,Under development,4,2,Mid-rise building,update May 2019,https://static.propsearch.ae/dubai-locations/agmc-bmw-showroom-17185_xl.jpg
