area,sub_area,project,status,url,coordinates,developer,architectural_consultant,owner,contractor,hotel_operator,piling_contractor,location_type,area_propsearch,phase,status,floors,building_type,floors_below_ground,also_known_as,unit_types,total_units,date_launched,construction_started,estimated_handover_date,caption,photo_url
Jumeirah Village Circle,JVC District 10,The Views Tower,Under development (On hold),https://propsearch.ae/dubai/the-views-tower,"25°4 10.5""N 55°12 21.4""E",Dorra Group,APG Architecture & Planning Group,,,,,Residential building,JVC District 10,Under development,On hold,65,Skyscraper,,,StudiosOne-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartments,,2016,2016,,"The Views Tower, undeveloped plot.",https://static.propsearch.ae/dubai-locations/the-views-tower-14347_xl.jpg
Jumeirah Village Circle,JVC District 10,The Sanctuary JVC,Under development (On hold),https://propsearch.ae/dubai/the-sanctuary-jvc,"25°3 53.2""N 55°12 15.9""E",KGN Investments Limited,CVTEC Consulting Engineers,,,,,Residential building,JVC District 10,Under development,On hold,4,Mid-rise building,2,,,,2017,,March 2019,update July 2020,https://static.propsearch.ae/dubai-locations/the-sanctuary-jvc-21909_xl.jpg
Jumeirah Village Circle,JVC District 10,Monte Carlo Residences,Under development (On hold),https://propsearch.ae/dubai/monte-carlo-residences,"25°3 45.9""N 55°12 27.7""E",Port Fino Real Estate Development LLC,,,,,,Residential building,JVC District 10,Under development,On hold,5,Mid-rise building,,,,,2014,2015,,update January 2019,https://static.propsearch.ae/dubai-locations/monte-carlo-residences-14421_xl.jpg
Jumeirah Village Circle,JVC District 14,Untitled Plot JVC14TMRM003,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc14tmrm003,"25°3 2.9""N 55°12 22.2""E",Astro Holdings Limited,Eng. Adnan Saffarini,,,,,Residential building,JVC District 14,Under development,On hold,14,High-rise building,,,,,2016,,,update June 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc14tmrm003-21920_xl.jpg
Jumeirah Village Circle,JVC District 14,Belgravia Square,Under development (On hold),https://propsearch.ae/dubai/belgravia-square,"25°2 54.8""N 55°12 14.3""E",Ellington Properties Development LLC,LACASA Architects & Engineering Consultants,,Delta Al Emarate Building Contracting Co. LLC,,Universal Piling Foundation LLC,Residential building,JVC District 14,Under development,On hold,5,Mid-rise building,1,,StudiosOne-bedroom apartmentsTwo-bedroom apartments,225,2018,,,update January 2021,https://static.propsearch.ae/dubai-locations/belgravia-square-26427_xl.jpg
Jumeirah Village Circle,JVC District 13,Xanadu Residence 1,Under development (On hold),https://propsearch.ae/dubai/xanadu-residence-1,"25°2 59.2""N 55°12 30.4""E",Alpha Properties,Al Saraya Engineering Consultants,,PGS Gulf Contracting LLC,,,Residential building,JVC District 13,Under development,On hold,5,Mid-rise building,1,,18 studios36 one-bedroom apartments22 two-bedroom apartments,76,,2015,,update January 2021,https://static.propsearch.ae/dubai-locations/xanadu-residence-1-26387_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10BMRH009,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc10bmrh009,"25°3 42""N 55°12 30.8""E",Ali Mohammed Salem Abu Adas,Al Gurg,,,,,Residential building,JVC District 10,Under development,On hold,19,High-rise building,,,,,2015,2015,,update January 2019,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10bmrh009-14416_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10QFRP001,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc10qfrp001,"25°3 52""N 55°12 14.2""E",PGS Gulf Contracting LLC,CVTEC Consulting Engineers,,,,,Townhouse row,JVC District 10,Under development,On hold,3,Low-rise building,,,,,2017,,,update July 2020,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10qfrp001-21873_xl.jpg
Jumeirah Village Circle,JVC District 10,Untitled Plot JVC10QFRP003,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc10qfrp003,"25°3 54.2""N 55°12 17.8""E",,,,,,,Townhouse row,JVC District 10,Under development,On hold,,,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc10qfrp003-21874_xl.jpg
Jumeirah Village Circle,JVC District 15,Untitled Plot JVC15IFRP003,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc15ifrp003,"25°3 36.1""N 55°11 53.9""E",,Design House Engineering Consultancy,,,,,Townhouse row,JVC District 15,Under development,On hold,3,Low-rise building,,,,,2016,,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc15ifrp003-26464_xl.jpg
Jumeirah Village Circle,JVC District 15,Untitled Plot JVC15JMRP002,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc15jmrp002,"25°3 33.5""N 55°11 53.1""E",Fortune DXB Limited,Federal Engineering Consultants,,,,,Residential building,JVC District 15,Under development,On hold,5,Mid-rise building,,,,,,,,"Untitled Plot JVC15JMRP002, January 2015.",https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc15jmrp002-1400_xl.jpg
Jumeirah Village Circle,JVC District 16,Untitled Plot JVC16BMRA010,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc16bmra010,"25°4 8.3""N 55°12 32.3""E",,Sigma Art Engineering Consultant,,,,,Residential building,JVC District 16,Under development,On hold,20,High-rise building,,,,,,,,site signboard,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc16bmra010-14348_xl.jpg
Jumeirah Village Circle,JVC District 16,Untitled Plot JVC16BMRM004,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc16bmrm004,"25°4 10.6""N 55°12 27.3""E",Al Sharq Investment,Eng. Adnan Saffarini,,,,,Residential building,JVC District 16,Under development,On hold,,,,,,,,,,site signboard,https://static.propsearch.ae/photos/dubai/buildings/untitled-plot-jvc16bmrm004-12617_xl.jpg
Jumeirah Village Circle,JVC District 17,Untitled Plot JVC17TCP003C,Under development (On hold),https://propsearch.ae/dubai/untitled-plot-jvc17tcp003c,"25°3 37.4""N 55°13 2.8""E",Sabita Agarwal,Abdul Rahim Architectural Consultants,,,,,Residential building,JVC District 17,Under development,On hold,20,High-rise building,,,,,2017,2017,,update January 2021,https://static.propsearch.ae/dubai-locations/untitled-plot-jvc17tcp003c-26363_xl.jpg
