area,sub_area,project,status,url,coordinates,developer,architectural_consultant,engineering_consultant,contractor,piling_contractor,owner,location_type,area_propsearch,phase,status,floors,floors_below_ground,building_type,height,total_units,unit_types,also_known_as,construction_started,date_launched,estimated_handover_date,caption,photo_url
Business Bay,Business Bay,Hotel Plot 3460582,Under development (On hold),https://propsearch.ae/dubai/hotel-plot-3460582,"25°10 41.7""N 55°16 13.6""E",Dubai Development Authority,Rimal Engineering Consultant,,,Dutch Foundation Co.,Ahmed Ali Alabdulla Al Ansari,Hotel,Business Bay,Under development,On hold,18,1,High-rise building,,,,,2019,,,update January 2021,https://static.propsearch.ae/dubai-locations/hotel-plot-3460582-26510_xl.jpg
Business Bay,Business Bay,Hotel Business Bay East,Under development (On hold),https://propsearch.ae/dubai/hotel-business-bay-east,"25°11 29.8""N 55°17 29.9""E",,Eng. Adnan Saffarini,,,,,Residential building,Business Bay,Under development,On hold,29,,Skyscraper,,,,,2018,2017,,"Hotel Business Bay East, undeveloped plot.",https://static.propsearch.ae/dubai-locations/hotel-business-bay-east-19281_xl.jpg
Business Bay,Business Bay,Global Bay View,Under development (On hold),https://propsearch.ae/dubai/global-bay-view,"25°11 6.4""N 55°16 56.9""E",,Arkiplan Consulting Architects & Engineers,,,,,Office building,Business Bay,Under development,On hold,20,,High-rise building,,,,,2007,,2009,update July 2020,https://static.propsearch.ae/dubai-locations/global-bay-view-22183_xl.jpg
Business Bay,Business Bay,Flame Towers,Under development (On hold),https://propsearch.ae/dubai/flame-towers,"25°11 15.6""N 55°16 21.4""E",Al Jaziri Brothers,Carlos Ott Architect,,,,,Multi-building complex,Business Bay,Under development,On hold,,,,,,,Al Jaziri Brothers Tower,2013,,,update May 2016,https://static.propsearch.ae/photos/dubai/buildings/flame-towers-6484_xl.jpg
Business Bay,Business Bay,Crowne Plaza Business Bay,Under development (On hold),https://propsearch.ae/dubai/crowne-plaza-business-bay,"25°11 6.9""N 55°16 26.7""E",Al Ali Property Investment,Killa Design,,,Universal Piling Foundation LLC,,Hotel,Business Bay,Under development,On hold,,,,,,,,2019,2019,,update May 2021,https://static.propsearch.ae/dubai-locations/crowne-plaza-business-bay-28613_xl.jpg
Business Bay,Business Bay,Canada Business Centre Tower,Under development (On hold),https://propsearch.ae/dubai/canada-business-centre-tower,"25°10 48""N 55°16 32.1""E",Aakar Developers Ltd,Arkiplan Consulting Architects & Engineers,,Don Valley Building Contracting LLC,,,Office building,Business Bay,Under development,On hold,19,,High-rise building,,,,,2007,2006,,update July 2020,https://static.propsearch.ae/dubai-locations/canada-business-centre-tower-22148_xl.jpg
Business Bay,Business Bay,Burj Pacific,Under development (On hold),https://propsearch.ae/dubai/burj-pacific,"25°11 21.9""N 55°16 57.5""E",Pacific Ventures Ltd,HAO Architectural & Engineering Consultants,,,,,Residential building,Business Bay,Under development,On hold,21,,High-rise building,,145,One-bedroom apartmentsTwo-bedroom apartmentsThree-bedroom apartmentsDuplexes,,2013,,March 2017,update May 2021,https://static.propsearch.ae/dubai-locations/burj-pacific-28602_xl.jpg
Business Bay,Business Bay,Boraq Tower,Under development (On hold),https://propsearch.ae/dubai/boraq-tower,"25°10 50.4""N 55°16 0.6""E",,,,,,,Office building,Business Bay,Under development,On hold,45,,Skyscraper,,,,,,2007,2009,"Boraq Tower, undeveloped plot.",https://static.propsearch.ae/dubai-locations/boraq-tower-22127_xl.jpg
Business Bay,Business Bay,The Sterling,Under development (On hold),https://propsearch.ae/dubai/the-sterling,"25°11 19.3""N 55°16 55.6""E",Omniyat Properties,FHSI Architects,,,,,Multi-building complex,Business Bay,Under development,On hold,,,,,,,,2014,,,update May 2021,https://static.propsearch.ae/dubai-locations/the-sterling-28603_xl.jpg
Business Bay,Business Bay,West 5 Tower,Under development (On hold),https://propsearch.ae/dubai/west-5-tower,"25°11 7.4""N 55°15 34.3""E",Fortune 5,VX Architects,,,,,Residential building,Business Bay,Under development,On hold,35,,Skyscraper,,,,,,2017,,"West 5 Tower, undeveloped plot.",https://static.propsearch.ae/photos/dubai/buildings/west-5-tower-10705_xl.jpg
Business Bay,Business Bay,United Arab Bank Regional Offices,Under development (On hold),https://propsearch.ae/dubai/united-arab-bank-regional-offices,"25°11 30""N 55°17 14.2""E",United Arab Bank,WSP Parsons Brinckerhoff,,,,,Multi-building complex,Business Bay,Under development,On hold,,,,,,,,Q1 2016,Q1 2016,,update January 2021,https://static.propsearch.ae/dubai-locations/united-arab-bank-regional-offices-26473_xl.jpg
Business Bay,Business Bay,Tulip Tower,Under development (On hold),https://propsearch.ae/dubai/tulip-tower,"25°11 14.7""N 55°17 11.5""E",Tulip Business Development,Eng. Adnan Saffarini,,,,,Office building,Business Bay,Under development,On hold,20,,High-rise building,,,,,2008,,2009,,
